RICE17 chronology interpolated ages

Citation: James E. Lee, Edward J. Brook, Jeffrey P. Severinghaus, Thomas Blunier, Christo Buizert, T.J. Fudge, Howard Conway, Ed D. Waddington, Frédéric Parrenin, Dorthe Dahl-Jensen, Mai Winstrup, Paul Vallelonga, V. Gabriela Ciobanu, and Nancy Bertler: An 83,000 year old ice core from Roosevelt Island, Ross Sea, Antarctica, Climate of the Past.
 


Notes:
All ages are in years before present (BP), with present set to calendar year 1950 C.E.

0-343 m:	ice age interpolated from ALC
	 	gas ages interpolated b/w FCP's assuming piecewise constant accumulation and a Nye thinning profile

343-746 m:	gas and ice ages interpolated between FCP's assuming piecewise constant accumulation and a Nye thinning profile

>746 m:		gas and ice ages linearly interpolated between age control points
 

Column 1: Depth - meters below surface
Column 2: Ice_Age - years BP
Column 3: Gas_Age - years BP

For questions on the use or construction of this chronology, please contact:

<jlee@coas.oregonstate.edu>     James E. Lee

  
<brooke@geo.oregonstate.edu>	Ed Brook
433.7500 4297 4128
434.0000 4302 4133
434.2500 4307 4138
434.5000 4312 4143
434.7500 4317 4148
435.0000 4322 4153
435.2500 4327 4158
435.5000 4331 4162
435.7500 4337 4168
436.0000 4344 4175
436.2500 4350 4181
436.5000 4356 4187
436.7500 4363 4194
437.0000 4369 4200
437.2500 4376 4207
437.5000 4382 4213
437.7500 4389 4220
438.0000 4395 4226
438.2500 4402 4233
438.5000 4408 4239
438.7500 4414 4245
439.0000 4421 4252
439.2500 4427 4258
439.5000 4434 4265
439.7500 4440 4271
440.0000 4447 4278
440.2500 4453 4284
440.5000 4460 4291
440.7500 4466 4297
441.0000 4473 4304
441.2500 4480 4311
441.5000 4486 4317
441.7500 4493 4324
442.0000 4499 4330
442.2500 4506 4337
442.5000 4512 4343
442.7500 4519 4350
443.0000 4525 4356
443.2500 4532 4363
443.5000 4538 4369
443.7500 4544 4375
444.0000 4548 4379
444.2500 4553 4383
444.5000 4557 4387
444.7500 4561 4392
445.0000 4565 4396
445.2500 4570 4400
445.5000 4574 4404
445.7500 4578 4408
446.0000 4583 4413
446.2500 4587 4417
446.5000 4591 4421
446.7500 4595 4425
447.0000 4600 4429
447.2500 4604 4434
447.5000 4608 4438
447.7500 4613 4442
448.0000 4617 4446
448.2500 4621 4451
448.5000 4626 4455
448.7500 4630 4459
449.0000 4634 4463
449.2500 4639 4468
449.5000 4643 4472
449.7500 4647 4476
450.0000 4652 4480
450.2500 4656 4485
450.5000 4661 4489
450.7500 4665 4493
451.0000 4669 4497
451.2500 4674 4502
451.5000 4678 4506
451.7500 4684 4512
452.0000 4689 4517
452.2500 4695 4523
452.5000 4700 4528
452.7500 4706 4534
453.0000 4711 4539
453.2500 4717 4545
453.5000 4722 4550
453.7500 4728 4556
454.0000 4734 4562
454.2500 4739 4567
454.5000 4745 4573
454.7500 4750 4578
455.0000 4756 4584
455.2500 4761 4589
455.5000 4767 4595
455.7500 4773 4601
456.0000 4778 4606
456.2500 4784 4612
456.5000 4789 4617
456.7500 4795 4623
457.0000 4801 4629
457.2500 4806 4634
457.5000 4812 4640
457.7500 4817 4645
458.0000 4823 4651
458.2500 4829 4657
458.5000 4834 4662
458.7500 4840 4668
459.0000 4846 4674
459.2500 4852 4680
459.5000 4858 4686
459.7500 4865 4692
460.0000 4871 4699
460.2500 4877 4705
460.5000 4884 4711
460.7500 4890 4717
461.0000 4897 4724
461.2500 4903 4730
461.5000 4910 4736
461.7500 4916 4743
462.0000 4922 4749
462.2500 4929 4755
462.5000 4935 4761
462.7500 4942 4768
463.0000 4948 4774
463.2500 4955 4780
463.5000 4961 4787
463.7500 4968 4793
464.0000 4974 4799
464.2500 4981 4806
464.5000 4987 4812
464.7500 4994 4819
465.0000 5000 4825
465.2500 5007 4831
465.5000 5013 4838
465.7500 5020 4844
466.0000 5026 4850
466.2500 5033 4857
466.5000 5039 4863
466.7500 5043 4867
467.0000 5047 4871
467.2500 5051 4875
467.5000 5054 4878
467.7500 5058 4882
468.0000 5062 4886
468.2500 5066 4890
468.5000 5070 4894
468.7500 5074 4898
469.0000 5077 4901
469.2500 5081 4905
469.5000 5085 4909
469.7500 5089 4913
470.0000 5093 4917
470.2500 5097 4921
470.5000 5101 4925
470.7500 5104 4928
471.0000 5108 4932
471.2500 5112 4936
471.5000 5116 4940
471.7500 5120 4944
472.0000 5124 4948
472.2500 5128 4952
472.5000 5132 4956
472.7500 5136 4960
473.0000 5139 4963
473.2500 5143 4967
473.5000 5147 4971
473.7500 5151 4975
474.0000 5155 4979
474.2500 5159 4983
474.5000 5163 4987
474.7500 5167 4991
475.0000 5171 4995
475.2500 5175 4999
475.5000 5179 5003
475.7500 5183 5007
476.0000 5187 5011
476.2500 5191 5015
476.5000 5196 5020
476.7500 5200 5024
477.0000 5204 5028
477.2500 5208 5032
477.5000 5212 5036
477.7500 5216 5040
478.0000 5220 5044
478.2500 5224 5048
478.5000 5228 5052
478.7500 5232 5056
479.0000 5236 5060
479.2500 5240 5064
479.5000 5244 5068
479.7500 5249 5073
480.0000 5253 5077
480.2500 5257 5081
480.5000 5261 5085
480.7500 5265 5089
481.0000 5269 5093
481.2500 5274 5098
481.5000 5279 5103
481.7500 5283 5107
482.0000 5288 5112
482.2500 5293 5117
482.5000 5297 5121
482.7500 5302 5126
483.0000 5307 5131
483.2500 5311 5136
483.5000 5316 5140
483.7500 5321 5145
484.0000 5325 5150
484.2500 5330 5154
484.5000 5335 5159
484.7500 5339 5164
485.0000 5344 5169
485.2500 5349 5173
485.5000 5353 5178
485.7500 5358 5183
486.0000 5363 5187
486.2500 5367 5192
486.5000 5372 5197
486.7500 5377 5202
487.0000 5382 5206
487.2500 5386 5211
487.5000 5391 5216
487.7500 5396 5221
488.0000 5402 5227
488.2500 5409 5234
488.5000 5415 5240
488.7500 5421 5246
489.0000 5428 5253
489.2500 5434 5259
489.5000 5441 5265
489.7500 5447 5272
490.0000 5453 5278
490.2500 5460 5284
490.5000 5466 5291
490.7500 5473 5297
491.0000 5479 5303
491.2500 5485 5310
491.5000 5492 5316
491.7500 5498 5323
492.0000 5505 5329
492.2500 5511 5335
492.5000 5518 5342
492.7500 5524 5348
493.0000 5531 5355
493.2500 5537 5361
493.5000 5543 5368
493.7500 5550 5374
494.0000 5556 5381
494.2500 5563 5387
494.5000 5569 5393
494.7500 5573 5397
495.0000 5577 5401
495.2500 5581 5405
495.5000 5585 5409
495.7500 5589 5413
496.0000 5593 5417
496.2500 5597 5421
496.5000 5601 5425
496.7500 5605 5429
497.0000 5609 5433
497.2500 5613 5437
497.5000 5617 5441
497.7500 5621 5445
498.0000 5625 5449
498.2500 5629 5453
498.5000 5633 5457
498.7500 5637 5461
499.0000 5641 5465
499.2500 5645 5469
499.5000 5649 5473
499.7500 5653 5477
500.0000 5657 5482
500.2500 5661 5486
500.5000 5665 5490
500.7500 5669 5494
501.0000 5673 5498
501.2500 5678 5503
501.5000 5683 5508
501.7500 5689 5513
502.0000 5694 5518
502.2500 5699 5523
502.5000 5705 5528
502.7500 5710 5533
503.0000 5716 5538
503.2500 5721 5543
503.5000 5726 5548
503.7500 5732 5553
504.0000 5737 5558
504.2500 5742 5563
504.5000 5748 5568
504.7500 5753 5574
505.0000 5759 5579
505.2500 5764 5584
505.5000 5769 5589
505.7500 5775 5594
506.0000 5780 5599
506.2500 5786 5604
506.5000 5791 5609
506.7500 5797 5614
507.0000 5802 5619
507.2500 5807 5625
507.5000 5814 5631
507.7500 5823 5640
508.0000 5832 5649
508.2500 5840 5658
508.5000 5849 5667
508.7500 5858 5676
509.0000 5867 5685
509.2500 5876 5694
509.5000 5885 5703
509.7500 5894 5712
510.0000 5903 5721
510.2500 5911 5730
510.5000 5920 5739
510.7500 5929 5748
511.0000 5938 5757
511.2500 5947 5766
511.5000 5956 5775
511.7500 5965 5784
512.0000 5974 5793
512.2500 5983 5802
512.5000 5992 5811
512.7500 6001 5821
513.0000 6010 5830
513.2500 6019 5839
513.5000 6028 5848
513.7500 6036 5856
514.0000 6043 5863
514.2500 6050 5870
514.5000 6057 5877
514.7500 6064 5884
515.0000 6071 5891
515.2500 6078 5898
515.5000 6085 5905
515.7500 6092 5912
516.0000 6099 5919
516.2500 6106 5926
516.5000 6113 5933
516.7500 6121 5941
517.0000 6128 5948
517.2500 6135 5955
517.5000 6142 5962
517.7500 6149 5969
518.0000 6156 5976
518.2500 6163 5983
518.5000 6170 5990
518.7500 6177 5997
519.0000 6184 6004
519.2500 6191 6011
519.5000 6199 6019
519.7500 6206 6026
520.0000 6213 6033
520.2500 6220 6040
520.5000 6227 6047
520.7500 6233 6054
521.0000 6240 6061
521.2500 6247 6068
521.5000 6254 6075
521.7500 6261 6082
522.0000 6268 6089
522.2500 6275 6096
522.5000 6282 6103
522.7500 6289 6110
523.0000 6296 6118
523.2500 6303 6125
523.5000 6311 6132
523.7500 6318 6139
524.0000 6325 6146
524.2500 6332 6153
524.5000 6339 6160
524.7500 6346 6167
525.0000 6353 6175
525.2500 6360 6182
525.5000 6367 6189
525.7500 6374 6196
526.0000 6382 6204
526.2500 6389 6211
526.5000 6396 6218
526.7500 6403 6226
527.0000 6411 6233
527.2500 6418 6241
527.5000 6425 6248
527.7500 6433 6256
528.0000 6440 6263
528.2500 6447 6271
528.5000 6455 6278
528.7500 6462 6286
529.0000 6470 6293
529.2500 6477 6301
529.5000 6484 6308
529.7500 6492 6316
530.0000 6499 6323
530.2500 6507 6331
530.5000 6514 6338
530.7500 6521 6346
531.0000 6529 6354
531.2500 6536 6361
531.5000 6544 6369
531.7500 6548 6373
532.0000 6552 6377
532.2500 6557 6382
532.5000 6561 6386
532.7500 6565 6390
533.0000 6570 6394
533.2500 6574 6399
533.5000 6579 6403
533.7500 6583 6407
534.0000 6587 6411
534.2500 6592 6416
534.5000 6596 6420
534.7500 6600 6424
535.0000 6605 6429
535.2500 6609 6433
535.5000 6614 6437
535.7500 6618 6441
536.0000 6622 6446
536.2500 6627 6450
536.5000 6631 6454
536.7500 6636 6459
537.0000 6640 6463
537.2500 6645 6468
537.5000 6652 6475
537.7500 6659 6482
538.0000 6666 6489
538.2500 6673 6496
538.5000 6680 6503
538.7500 6688 6511
539.0000 6695 6518
539.2500 6702 6525
539.5000 6709 6532
539.7500 6716 6539
540.0000 6723 6546
540.2500 6730 6553
540.5000 6737 6560
540.7500 6744 6567
541.0000 6751 6574
541.2500 6759 6582
541.5000 6766 6589
541.7500 6773 6596
542.0000 6780 6603
542.2500 6787 6610
542.5000 6795 6618
542.7500 6802 6625
543.0000 6809 6632
543.2500 6817 6640
543.5000 6824 6647
543.7500 6831 6654
544.0000 6839 6662
544.2500 6846 6669
544.5000 6854 6677
544.7500 6861 6684
545.0000 6869 6692
545.2500 6876 6699
545.5000 6883 6706
545.7500 6891 6714
546.0000 6898 6721
546.2500 6906 6729
546.5000 6913 6736
546.7500 6921 6744
547.0000 6928 6751
547.2500 6936 6759
547.5000 6944 6767
547.7500 6951 6774
548.0000 6959 6782
548.2500 6966 6789
548.5000 6973 6796
548.7500 6980 6803
549.0000 6988 6811
549.2500 6995 6818
549.5000 7002 6825
549.7500 7010 6833
550.0000 7017 6840
550.2500 7024 6847
550.5000 7032 6855
550.7500 7039 6862
551.0000 7046 6869
551.2500 7053 6876
551.5000 7061 6884
551.7500 7068 6891
552.0000 7076 6899
552.2500 7083 6906
552.5000 7090 6913
552.7500 7098 6921
553.0000 7105 6928
553.2500 7113 6936
553.5000 7118 6941
553.7500 7123 6946
554.0000 7128 6950
554.2500 7132 6955
554.5000 7137 6960
554.7500 7142 6964
555.0000 7147 6969
555.2500 7151 6974
555.5000 7156 6978
555.7500 7161 6983
556.0000 7166 6988
556.2500 7170 6992
556.5000 7175 6997
556.7500 7180 7002
557.0000 7185 7006
557.2500 7190 7011
557.5000 7194 7016
557.7500 7199 7021
558.0000 7204 7025
558.2500 7209 7030
558.5000 7214 7035
558.7500 7218 7039
559.0000 7222 7043
559.2500 7226 7047
559.5000 7230 7051
559.7500 7234 7055
560.0000 7238 7060
560.2500 7242 7064
560.5000 7246 7068
560.7500 7250 7072
561.0000 7254 7076
561.2500 7259 7081
561.5000 7263 7085
561.7500 7267 7089
562.0000 7271 7093
562.2500 7275 7097
562.5000 7279 7102
562.7500 7283 7106
563.0000 7287 7110
563.2500 7292 7114
563.5000 7296 7119
563.7500 7301 7124
564.0000 7306 7129
564.2500 7312 7134
564.5000 7317 7140
564.7500 7322 7145
565.0000 7328 7150
565.2500 7333 7155
565.5000 7338 7160
565.7500 7343 7166
566.0000 7349 7171
566.2500 7354 7176
566.5000 7359 7181
566.7500 7365 7187
567.0000 7370 7192
567.2500 7376 7197
567.5000 7381 7202
567.7500 7386 7208
568.0000 7392 7213
568.2500 7397 7218
568.5000 7405 7226
568.7500 7414 7235
569.0000 7423 7245
569.2500 7433 7254
569.5000 7442 7264
569.7500 7451 7273
570.0000 7461 7282
570.2500 7470 7292
570.5000 7479 7301
570.7500 7489 7311
571.0000 7498 7320
571.2500 7507 7330
571.5000 7517 7339
571.7500 7526 7349
572.0000 7536 7358
572.2500 7545 7368
572.5000 7554 7377
572.7500 7564 7387
573.0000 7573 7396
573.2500 7581 7404
573.5000 7588 7411
573.7500 7595 7418
574.0000 7602 7425
574.2500 7609 7431
574.5000 7616 7438
574.7500 7623 7445
575.0000 7629 7452
575.2500 7636 7459
575.5000 7643 7466
575.7500 7650 7473
576.0000 7657 7480
576.2500 7664 7487
576.5000 7671 7493
576.7500 7678 7500
577.0000 7685 7507
577.2500 7692 7514
577.5000 7699 7521
577.7500 7706 7528
578.0000 7717 7539
578.2500 7727 7549
578.5000 7737 7559
578.7500 7748 7570
579.0000 7758 7580
579.2500 7768 7590
579.5000 7779 7601
579.7500 7789 7611
580.0000 7800 7622
580.2500 7810 7632
580.5000 7821 7643
580.7500 7831 7653
581.0000 7841 7663
581.2500 7852 7674
581.5000 7863 7685
581.7500 7873 7695
582.0000 7884 7706
582.2500 7894 7716
582.5000 7907 7729
582.7500 7920 7742
583.0000 7933 7755
583.2500 7946 7768
583.5000 7959 7782
583.7500 7972 7795
584.0000 7985 7808
584.2500 7998 7821
584.5000 8011 7834
584.7500 8024 7848
585.0000 8037 7861
585.2500 8050 7874
585.5000 8063 7887
585.7500 8076 7901
586.0000 8090 7914
586.2500 8103 7927
586.5000 8116 7941
586.7500 8129 7954
587.0000 8139 7965
587.2500 8150 7975
587.5000 8161 7986
587.7500 8172 7997
588.0000 8183 8008
588.2500 8194 8019
588.5000 8204 8030
588.7500 8215 8041
589.0000 8226 8052
589.2500 8237 8063
589.5000 8248 8074
589.7500 8259 8085
590.0000 8270 8097
590.2500 8281 8108
590.5000 8292 8119
590.7500 8303 8130
591.0000 8314 8141
591.2500 8321 8148
591.5000 8327 8155
591.7500 8334 8161
592.0000 8341 8168
592.2500 8347 8175
592.5000 8354 8182
592.7500 8361 8189
593.0000 8368 8195
593.2500 8374 8202
593.5000 8381 8209
593.7500 8388 8216
594.0000 8395 8223
594.2500 8401 8230
594.5000 8408 8237
594.7500 8415 8243
595.0000 8422 8250
595.2500 8429 8257
595.5000 8435 8264
595.7500 8443 8272
596.0000 8451 8280
596.2500 8460 8289
596.5000 8468 8298
596.7500 8477 8307
597.0000 8485 8315
597.2500 8494 8324
597.5000 8503 8333
597.7500 8511 8342
598.0000 8520 8350
598.2500 8529 8359
598.5000 8537 8368
598.7500 8546 8377
599.0000 8555 8386
599.2500 8563 8395
599.5000 8572 8404
599.7500 8581 8412
600.0000 8589 8421
600.2500 8598 8430
600.5000 8604 8436
600.7500 8610 8442
601.0000 8616 8448
601.2500 8622 8454
601.5000 8628 8460
601.7500 8634 8466
602.0000 8640 8472
602.2500 8646 8478
602.5000 8652 8484
602.7500 8658 8491
603.0000 8664 8497
603.2500 8670 8503
603.5000 8676 8509
603.7500 8682 8515
604.0000 8688 8521
604.2500 8695 8527
604.5000 8701 8534
604.7500 8707 8541
605.0000 8715 8548
605.2500 8722 8556
605.5000 8730 8564
605.7500 8738 8572
606.0000 8745 8579
606.2500 8753 8587
606.5000 8760 8595
606.7500 8768 8603
607.0000 8776 8611
607.2500 8783 8619
607.5000 8791 8626
607.7500 8798 8634
608.0000 8806 8642
608.2500 8814 8650
608.5000 8822 8658
608.7500 8829 8666
609.0000 8836 8673
609.2500 8842 8679
609.5000 8847 8684
609.7500 8853 8690
610.0000 8858 8696
610.2500 8864 8701
610.5000 8869 8707
610.7500 8875 8712
611.0000 8881 8718
611.2500 8886 8724
611.5000 8892 8729
611.7500 8897 8735
612.0000 8903 8741
612.2500 8908 8746
612.5000 8914 8752
612.7500 8920 8758
613.0000 8925 8763
613.2500 8931 8769
613.5000 8936 8774
613.7500 8941 8779
614.0000 8947 8784
614.2500 8952 8790
614.5000 8958 8795
614.7500 8963 8800
615.0000 8968 8805
615.2500 8974 8811
615.5000 8979 8816
615.7500 8985 8821
616.0000 8990 8827
616.2500 8995 8832
616.5000 9001 8837
616.7500 9006 8843
617.0000 9012 8848
617.2500 9018 8854
617.5000 9028 8864
617.7500 9038 8874
618.0000 9048 8884
618.2500 9058 8894
618.5000 9068 8904
618.7500 9078 8914
619.0000 9088 8925
619.2500 9098 8935
619.5000 9108 8945
619.7500 9118 8955
620.0000 9128 8965
620.2500 9138 8975
620.5000 9148 8985
620.7500 9158 8996
621.0000 9168 9006
621.2500 9179 9017
621.5000 9191 9029
621.7500 9203 9042
622.0000 9216 9054
622.2500 9228 9066
622.5000 9240 9079
622.7500 9253 9091
623.0000 9265 9103
623.2500 9277 9116
623.5000 9290 9128
623.7500 9302 9141
624.0000 9315 9153
624.2500 9327 9166
624.5000 9340 9179
624.7500 9352 9191
625.0000 9365 9204
625.2500 9386 9225
625.5000 9407 9246
625.7500 9428 9268
626.0000 9450 9289
626.2500 9471 9310
626.5000 9492 9332
626.7500 9514 9353
627.0000 9535 9375
627.2500 9557 9397
627.5000 9579 9418
627.7500 9600 9440
628.0000 9622 9462
628.2500 9643 9483
628.5000 9665 9505
628.7500 9687 9527
629.0000 9703 9543
629.2500 9719 9559
629.5000 9736 9576
629.7500 9752 9592
630.0000 9768 9608
630.2500 9785 9625
630.5000 9801 9641
630.7500 9818 9658
631.0000 9834 9674
631.2500 9851 9691
631.5000 9867 9707
631.7500 9884 9724
632.0000 9900 9740
632.2500 9917 9757
632.5000 9931 9771
632.7500 9939 9779
633.0000 9948 9788
633.2500 9957 9797
633.5000 9966 9806
633.7500 9975 9815
634.0000 9984 9823
634.2500 9993 9832
634.5000 10002 9841
634.7500 10011 9850
635.0000 10020 9859
635.2500 10029 9868
635.5000 10038 9877
635.7500 10047 9886
636.0000 10055 9894
636.2500 10061 9900
636.5000 10066 9905
636.7500 10072 9911
637.0000 10077 9916
637.2500 10082 9922
637.5000 10088 9927
637.7500 10093 9933
638.0000 10099 9939
638.2500 10105 9944
638.5000 10110 9950
638.7500 10116 9955
639.0000 10121 9961
639.2500 10127 9967
639.5000 10134 9974
639.7500 10143 9983
640.0000 10152 9992
640.2500 10161 10001
640.5000 10170 10010
640.7500 10179 10020
641.0000 10188 10029
641.2500 10198 10038
641.5000 10207 10047
641.7500 10216 10057
642.0000 10225 10066
642.2500 10234 10075
642.5000 10244 10085
642.7500 10253 10094
643.0000 10269 10110
643.2500 10284 10126
643.5000 10300 10142
643.7500 10316 10158
644.0000 10332 10174
644.2500 10348 10190
644.5000 10364 10206
644.7500 10380 10222
645.0000 10395 10239
645.2500 10412 10255
645.5000 10428 10271
645.7500 10444 10287
646.0000 10460 10304
646.2500 10473 10317
646.5000 10486 10330
646.7500 10499 10343
647.0000 10512 10356
647.2500 10525 10370
647.5000 10538 10383
647.7500 10551 10396
648.0000 10564 10409
648.2500 10577 10422
648.5000 10590 10436
648.7500 10603 10449
649.0000 10617 10463
649.2500 10629 10475
649.5000 10637 10483
649.7500 10644 10491
650.0000 10652 10498
650.2500 10660 10506
650.5000 10668 10514
650.7500 10676 10522
651.0000 10684 10530
651.2500 10692 10538
651.5000 10700 10547
651.7500 10708 10555
652.0000 10716 10563
652.2500 10724 10571
652.5000 10736 10583
652.7500 10749 10596
653.0000 10762 10610
653.2500 10775 10623
653.5000 10789 10636
653.7500 10802 10650
654.0000 10815 10663
654.2500 10828 10677
654.5000 10842 10690
654.7500 10855 10703
655.0000 10868 10717
655.2500 10882 10731
655.5000 10892 10741
655.7500 10902 10751
656.0000 10911 10760
656.2500 10921 10770
656.5000 10931 10780
656.7500 10941 10790
657.0000 10951 10800
657.2500 10960 10809
657.5000 10970 10819
657.7500 10980 10829
658.0000 10990 10839
658.2500 11001 10850
658.5000 11015 10864
658.7500 11029 10878
659.0000 11043 10892
659.2500 11057 10907
659.5000 11071 10921
659.7500 11085 10936
660.0000 11100 10950
660.2500 11114 10964
660.5000 11128 10979
660.7500 11143 10994
661.0000 11157 11008
661.2500 11172 11023
661.5000 11188 11039
661.7500 11203 11055
662.0000 11218 11070
662.2500 11234 11086
662.5000 11249 11102
662.7500 11265 11118
663.0000 11281 11134
663.2500 11296 11150
663.5000 11312 11166
663.7500 11328 11181
664.0000 11344 11198
664.2500 11360 11214
664.5000 11376 11231
664.7500 11393 11247
665.0000 11409 11264
665.2500 11425 11280
665.5000 11442 11297
665.7500 11458 11314
666.0000 11475 11330
666.2500 11491 11347
666.5000 11508 11364
666.7500 11529 11385
667.0000 11550 11406
667.2500 11571 11428
667.5000 11593 11449
667.7500 11614 11471
668.0000 11636 11492
668.2500 11657 11514
668.5000 11679 11535
668.7500 11700 11557
669.0000 11722 11579
669.2500 11746 11603
669.5000 11773 11629
669.7500 11800 11656
670.0000 11832 11687
670.1000 11846 11700
670.2000 11862 11714
670.3000 11879 11728
670.4000 11895 11742
670.5000 11911 11757
670.6000 11928 11771
670.7000 11944 11785
670.8000 11960 11799
670.9000 11977 11813
671.0000 11993 11827
671.1000 12009 11842
671.2000 12026 11856
671.3000 12042 11870
671.4000 12059 11885
671.5000 12075 11899
671.6000 12092 11913
671.7000 12108 11927
671.8000 12125 11942
671.9000 12141 11956
672.0000 12158 11971
672.1000 12174 11985
672.2000 12191 11999
672.3000 12208 12014
672.4000 12224 12028
672.5000 12241 12043
672.6000 12258 12057
672.7000 12274 12072
672.8000 12291 12086
672.9000 12308 12101
673.0000 12325 12115
673.1000 12341 12130
673.2000 12358 12144
673.3000 12375 12159
673.4000 12392 12173
673.5000 12409 12188
673.6000 12425 12203
673.7000 12442 12217
673.8000 12459 12232
673.9000 12476 12247
674.0000 12493 12261
674.1000 12510 12276
674.2000 12527 12291
674.3000 12544 12306
674.4000 12561 12320
674.5000 12578 12335
674.6000 12595 12350
674.7000 12612 12365
674.8000 12629 12380
674.9000 12646 12394
675.0000 12664 12409
675.1000 12681 12424
675.2000 12698 12439
675.3000 12715 12454
675.4000 12732 12469
675.5000 12749 12484
675.6000 12767 12499
675.7000 12784 12514
675.8000 12801 12529
675.9000 12819 12544
676.0000 12836 12559
676.1000 12853 12574
676.2000 12871 12589
676.3000 12888 12604
676.4000 12905 12619
676.5000 12923 12634
676.6000 12940 12650
676.7000 12958 12665
676.8000 12975 12680
676.9000 12993 12695
677.0000 13010 12710
677.1000 13028 12725
677.2000 13045 12741
677.3000 13063 12756
677.4000 13093 12786
677.5000 13124 12817
677.6000 13154 12848
677.7000 13184 12878
677.8000 13215 12909
677.9000 13245 12940
678.0000 13276 12970
678.1000 13306 13001
678.2000 13337 13032
678.3000 13367 13063
678.4000 13398 13093
678.5000 13429 13124
678.6000 13459 13155
678.7000 13490 13186
678.8000 13521 13217
678.9000 13552 13248
679.0000 13583 13279
679.1000 13614 13310
679.2000 13644 13342
679.3000 13675 13373
679.4000 13706 13404
679.5000 13737 13435
679.6000 13770 13468
679.7000 13807 13508
679.8000 13844 13548
679.9000 13881 13588
680.0000 13918 13628
680.1000 13955 13668
680.2000 13993 13708
680.3000 14030 13748
680.4000 14067 13789
680.5000 14105 13829
680.6000 14142 13869
680.7000 14180 13910
680.8000 14217 13950
680.9000 14255 13990
681.0000 14292 14031
681.1000 14330 14072
681.2000 14368 14112
681.3000 14405 14153
681.4000 14443 14194
681.5000 14481 14234
681.6000 14519 14275
681.7000 14557 14316
681.8000 14594 14356
681.9000 14614 14379
682.0000 14634 14401
682.1000 14654 14424
682.2000 14674 14446
682.3000 14694 14469
682.4000 14714 14491
682.5000 14734 14514
682.6000 14754 14536
682.7000 14774 14559
682.8000 14794 14582
682.9000 14814 14604
683.0000 14835 14627
683.1000 14855 14650
683.2000 14875 14673
683.3000 14895 14695
683.4000 14915 14718
683.5000 14936 14741
683.6000 14956 14764
683.7000 14976 14787
683.8000 14997 14810
683.9000 15017 14833
684.0000 15038 14855
684.1000 15058 14875
684.2000 15079 14895
684.3000 15100 14916
684.4000 15121 14936
684.5000 15142 14956
684.6000 15162 14977
684.7000 15183 14997
684.8000 15204 15018
684.9000 15225 15039
685.0000 15246 15059
685.1000 15267 15080
685.2000 15288 15100
685.3000 15309 15121
685.4000 15330 15142
685.5000 15351 15162
685.6000 15372 15183
685.7000 15393 15204
685.8000 15415 15225
685.9000 15436 15245
686.0000 15457 15266
686.1000 15481 15290
686.2000 15508 15317
686.3000 15536 15344
686.4000 15563 15371
686.5000 15591 15399
686.6000 15619 15426
686.7000 15646 15453
686.8000 15674 15481
686.9000 15702 15508
687.0000 15730 15536
687.1000 15758 15563
687.2000 15785 15591
687.3000 15813 15618
687.4000 15841 15646
687.5000 15869 15673
687.6000 15897 15701
687.7000 15925 15729
687.8000 15953 15757
687.9000 15982 15784
688.0000 16010 15812
688.1000 16038 15840
688.2000 16056 15857
688.3000 16073 15873
688.4000 16090 15889
688.5000 16107 15905
688.6000 16124 15921
688.7000 16141 15938
688.8000 16158 15954
688.9000 16175 15970
689.0000 16192 15986
689.1000 16209 16002
689.2000 16226 16019
689.3000 16243 16035
689.4000 16260 16051
689.5000 16277 16068
689.6000 16295 16084
689.7000 16312 16100
689.8000 16329 16117
689.9000 16347 16133
690.0000 16364 16150
690.1000 16381 16166
690.2000 16403 16187
690.3000 16425 16207
690.4000 16447 16228
690.5000 16470 16248
690.6000 16492 16269
690.7000 16514 16289
690.8000 16536 16310
690.9000 16558 16330
691.0000 16581 16351
691.1000 16603 16372
691.2000 16625 16392
691.3000 16648 16413
691.4000 16670 16434
691.5000 16693 16454
691.6000 16715 16475
691.7000 16737 16496
691.8000 16760 16517
691.9000 16783 16538
692.0000 16805 16559
692.1000 16838 16590
692.2000 16877 16627
692.3000 16916 16664
692.4000 16956 16701
692.5000 16995 16738
692.6000 17035 16776
692.7000 17074 16813
692.8000 17114 16851
692.9000 17153 16888
693.0000 17193 16926
693.1000 17233 16963
693.2000 17272 17001
693.3000 17312 17039
693.4000 17352 17076
693.5000 17392 17114
693.6000 17432 17152
693.7000 17472 17190
693.8000 17512 17228
693.9000 17553 17266
694.0000 17602 17314
694.1000 17654 17366
694.2000 17707 17418
694.3000 17760 17470
694.4000 17812 17522
694.5000 17865 17574
694.6000 17918 17626
694.7000 17971 17678
694.8000 18024 17731
694.9000 18077 17783
695.0000 18131 17836
695.1000 18184 17888
695.2000 18237 17941
695.3000 18291 17993
695.4000 18344 18046
695.5000 18398 18099
695.6000 18452 18152
695.7000 18506 18205
695.8000 18556 18255
695.9000 18599 18298
696.0000 18643 18341
696.1000 18687 18385
696.2000 18731 18428
696.3000 18775 18472
696.4000 18819 18516
696.5000 18863 18560
696.6000 18907 18603
696.7000 18951 18647
696.8000 18996 18691
696.9000 19040 18735
697.0000 19085 18779
697.1000 19129 18824
697.2000 19174 18868
697.3000 19218 18912
697.4000 19263 18956
697.5000 19308 19001
697.6000 19346 19039
697.7000 19377 19070
697.8000 19409 19101
697.9000 19440 19132
698.0000 19472 19163
698.1000 19503 19194
